Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,47250,47450,46450,46550,1033855,-0.023084994753410304,-0.0102,0.20000000546375907
2020-01-03,47050,47800,46900,47150,1123490,0.012889366272824887,0.0006,0.10000000335276125
2020-01-06,47100,47550,46300,46600,698224,-0.01166489925768821,-0.0098,0.0
2020-01-07,46600,47350,46600,47000,817477,0.008583690987124415,0.0095,0.0
2020-01-08,46100,46550,45800,46150,1197780,-0.018085106382978777,-0.0111,0.0
2020-01-09,46400,47300,46150,46500,1371428,0.007583965330444142,0.0163,0.2000000029802322
2020-01-10,46500,46950,46100,46800,1223959,0.006451612903225712,0.0091,0.05000000074505805
2020-01-13,46950,47000,46050,46700,723834,-0.002136752136752129,0.0104,0.0
2020-01-14,46800,47950,46600,47850,1230507,0.024625267665952855,0.0043,0.0
2020-01-15,47350,48100,47300,47900,1051882,0.0010449320794148065,-0.0034999999999999996,0.0
2020-01-16,47650,48050,47100,48000,1063894,0.0020876826722338038,0.0077,0.21428571854318887
2020-01-17,47300,47950,47150,47900,1067206,-0.002083333333333326,0.0011,0.1000000014901161
2020-01-20,47750,48700,47300,48300,1039883,0.008350730688935215,0.0054,0.1000000014901161
2020-01-21,48200,48250,47350,47350,543206,-0.019668737060041352,-0.0101,0.0
2020-01-22,47350,47900,47150,47550,827162,0.004223864836325308,0.0123,0.1000000014901161
2020-01-23,46900,47450,46500,46700,892831,-0.017875920084121977,-0.009300000000000001,0.1000000014901161
2020-01-28,46250,46450,44100,44500,1494047,-0.047109207708779466,-0.030899999999999997,0.0
2020-01-29,45000,45000,43900,44250,1357149,-0.005617977528089901,0.0039000000000000003,0.0
2020-01-30,44600,44650,43650,43800,1451247,-0.01016949152542368,-0.0171,0.0
2020-01-31,44500,44550,43700,43950,1043074,0.003424657534246478,-0.013500000000000002,-0.1000000014901161
2020-02-03,44000,44300,42800,43850,1438211,-0.0022753128555176305,-0.0001,0.0
2020-02-04,44150,44500,43400,43500,1350137,-0.007981755986317007,0.0184,0.1000000014901161
2020-02-05,43550,44400,43550,44200,1414093,0.016091954022988464,0.0036,0.033333333830038704
2020-02-06,44700,45500,44000,45250,1087184,0.0237556561085972,0.0288,0.15000000596046445
2020-02-07,44600,45150,43850,44400,1152443,-0.018784530386740328,-0.0072,0.050000000745058046
2020-02-10,43700,43850,43000,43250,1392007,-0.025900900900900914,-0.0049,0.16666666915019354
2020-02-11,43450,43550,42950,43100,1505386,-0.003468208092485603,0.01,0.05000000074505805
2020-02-12,43150,43700,42900,43500,2163450,0.009280742459396807,0.0069,0.0
2020-02-13,43450,43450,42700,42750,1585289,-0.017241379310344862,-0.0024,0.0
2020-02-14,42500,43000,42250,42750,1304244,0.0,0.0048,0.15000000223517415
2020-02-17,42800,43000,42150,42400,994095,-0.008187134502923965,-0.0006,0.1000000014901161
2020-02-18,42200,42450,41400,41750,1530494,-0.015330188679245293,-0.0148,0.1000000014901161
